type   name                                      
-----  ------------------------------------------
index  idx_vocab_answers_attempt_id              
index  idx_vocab_attempt_events_attempt          
index  idx_vocab_attempt_events_attempt_id       
index  idx_vocab_attempt_events_event_type       
index  idx_vocab_attempt_events_item             
index  idx_vocab_attempt_events_reason_code      
index  idx_vocab_attempt_events_user             
index  idx_vocab_attempts_status_questions       
index  idx_vocab_attempts_user                   
index  idx_vocab_attempts_user_status            
index  idx_vocab_builds_status                   
index  idx_vocab_certified_inventory_v3_lemma_pos
index  idx_vocab_certified_inventory_v3_runtime  
index  idx_vocab_choices_item_id                 
index  idx_vocab_choices_item_id_position        
index  idx_vocab_choices_v3_item_id              
index  idx_vocab_choices_v3_item_id_position     
index  idx_vocab_item_exposure_item_shown_last   
index  idx_vocab_item_exposure_last_shown_at     
index  idx_vocab_item_exposure_shown_count       
index  idx_vocab_item_validation_build_id        
index  idx_vocab_item_validation_passed          
index  idx_vocab_item_validation_rule_code       
index  idx_vocab_items_active                    
index  idx_vocab_items_active_bin_freq           
index  idx_vocab_items_active_lemma_pos          
index  idx_vocab_items_active_pos_level_bin_freq 
index  idx_vocab_items_bin_name                  
index  idx_vocab_items_cefr_estimate             
index  idx_vocab_items_concept_group             
index  idx_vocab_items_freq_rank                 
index  idx_vocab_items_lemma                     
index  idx_vocab_items_level                     
index  idx_vocab_items_pos                       
index  idx_vocab_lemma_candidates_build_id       
index  idx_vocab_lemma_candidates_gloss_key      
index  idx_vocab_lemma_candidates_is_eligible    
index  idx_vocab_lemma_candidates_lemma_key_pos  
index  idx_vocab_quarantine_build_id             
index  idx_vocab_quarantine_reason_code          
index  idx_vocab_quarantine_released_at          
index  idx_vocab_raw_entries_external_key        
index  idx_vocab_raw_entries_source_name         
index  idx_vocab_result_snapshots_attempt_id     
index  idx_vocab_selector_state_attempt_id       
index  sqlite_autoindex_vocab_answers_1          
index  sqlite_autoindex_vocab_attempts_1         
index  sqlite_autoindex_vocab_builds_1           
index  sqlite_autoindex_vocab_choices_1          
index  sqlite_autoindex_vocab_choices_v3_1       
index  sqlite_autoindex_vocab_selector_state_1   
table  vocab_answers                             
table  vocab_attempt_events                      
table  vocab_attempts                            
table  vocab_builds                              
table  vocab_certified_inventory_v3              
table  vocab_choices                             
table  vocab_choices_v3                          
table  vocab_item_exposure                       
table  vocab_item_validation                     
table  vocab_items                               
table  vocab_lemma_candidates                    
table  vocab_quarantine                          
table  vocab_raw_entries                         
table  vocab_result_snapshots                    
table  vocab_selector_state                      
view   vocab_items_runtime_v3                    
