external_key,lemma,pos,level,freq_rank,ru_gloss,notes
wfpt-00001,de,,,1,,seed_from_wordfreq_pt
wfpt-00002,que,,,4,,seed_from_wordfreq_pt
wfpt-00003,do,,,6,,seed_from_wordfreq_pt
wfpt-00004,em,,,7,,seed_from_wordfreq_pt
wfpt-00005,da,,,8,,seed_from_wordfreq_pt
wfpt-00006,para,,,10,,seed_from_wordfreq_pt
wfpt-00007,não,,,11,,seed_from_wordfreq_pt
wfpt-00008,um,,,12,,seed_from_wordfreq_pt
wfpt-00009,uma,,,13,,seed_from_wordfreq_pt
wfpt-00010,com,,,14,,seed_from_wordfreq_pt
wfpt-00011,no,,,15,,seed_from_wordfreq_pt
wfpt-00012,se,,,16,,seed_from_wordfreq_pt
wfpt-00013,na,,,17,,seed_from_wordfreq_pt
wfpt-00014,por,,,18,,seed_from_wordfreq_pt
wfpt-00015,os,,,19,,seed_from_wordfreq_pt
wfpt-00016,eu,,,20,,seed_from_wordfreq_pt
wfpt-00017,como,,,21,,seed_from_wordfreq_pt
wfpt-00018,as,,,22,,seed_from_wordfreq_pt
wfpt-00019,mais,,,23,,seed_from_wordfreq_pt
wfpt-00020,dos,,,24,,seed_from_wordfreq_pt
wfpt-00021,mas,,,25,,seed_from_wordfreq_pt
wfpt-00022,foi,,,26,,seed_from_wordfreq_pt
wfpt-00023,ao,,,27,,seed_from_wordfreq_pt
wfpt-00024,me,,,28,,seed_from_wordfreq_pt
wfpt-00025,você,,,29,,seed_from_wordfreq_pt
wfpt-00026,ser,,,30,,seed_from_wordfreq_pt
wfpt-00027,seu,,,31,,seed_from_wordfreq_pt
wfpt-00028,sua,,,32,,seed_from_wordfreq_pt
wfpt-00029,tem,,,33,,seed_from_wordfreq_pt
wfpt-00030,são,,,34,,seed_from_wordfreq_pt
wfpt-00031,das,,,35,,seed_from_wordfreq_pt
wfpt-00032,ou,,,36,,seed_from_wordfreq_pt
wfpt-00033,ele,,,38,,seed_from_wordfreq_pt
wfpt-00034,muito,,,39,,seed_from_wordfreq_pt
wfpt-00035,isso,,,40,,seed_from_wordfreq_pt
wfpt-00036,já,,,41,,seed_from_wordfreq_pt
wfpt-00037,nos,,,42,,seed_from_wordfreq_pt
wfpt-00038,também,,,43,,seed_from_wordfreq_pt
wfpt-00039,quando,,,44,,seed_from_wordfreq_pt
wfpt-00040,está,,,45,,seed_from_wordfreq_pt
wfpt-00041,meu,,,46,,seed_from_wordfreq_pt
wfpt-00042,pelo,,,47,,seed_from_wordfreq_pt
wfpt-00043,ela,,,48,,seed_from_wordfreq_pt
wfpt-00044,vai,,,49,,seed_from_wordfreq_pt
wfpt-00045,só,,,50,,seed_from_wordfreq_pt
wfpt-00046,dia,,,51,,seed_from_wordfreq_pt
wfpt-00047,pela,,,52,,seed_from_wordfreq_pt
wfpt-00048,sobre,,,53,,seed_from_wordfreq_pt
wfpt-00049,bem,,,54,,seed_from_wordfreq_pt
wfpt-00050,até,,,55,,seed_from_wordfreq_pt
wfpt-00051,mesmo,,,56,,seed_from_wordfreq_pt
wfpt-00052,pode,,,57,,seed_from_wordfreq_pt
wfpt-00053,pessoas,,,58,,seed_from_wordfreq_pt
wfpt-00054,te,,,59,,seed_from_wordfreq_pt
wfpt-00055,ter,,,60,,seed_from_wordfreq_pt
wfpt-00056,tudo,,,61,,seed_from_wordfreq_pt
wfpt-00057,ainda,,,62,,seed_from_wordfreq_pt
wfpt-00058,aqui,,,63,,seed_from_wordfreq_pt
wfpt-00059,fazer,,,64,,seed_from_wordfreq_pt
wfpt-00060,minha,,,65,,seed_from_wordfreq_pt
wfpt-00061,anos,,,66,,seed_from_wordfreq_pt
wfpt-00062,todos,,,67,,seed_from_wordfreq_pt
wfpt-00063,quem,,,68,,seed_from_wordfreq_pt
wfpt-00064,sem,,,69,,seed_from_wordfreq_pt
wfpt-00065,agora,,,70,,seed_from_wordfreq_pt
wfpt-00066,entre,,,71,,seed_from_wordfreq_pt
wfpt-00067,era,,,72,,seed_from_wordfreq_pt
wfpt-00068,seus,,,73,,seed_from_wordfreq_pt
wfpt-00069,nas,,,74,,seed_from_wordfreq_pt
wfpt-00070,assim,,,75,,seed_from_wordfreq_pt
wfpt-00071,depois,,,76,,seed_from_wordfreq_pt
wfpt-00072,este,,,77,,seed_from_wordfreq_pt
wfpt-00073,onde,,,78,,seed_from_wordfreq_pt
