external_key,lemma,pos,level,freq_rank,ru_gloss,notes
wfpt-08467,aaron,,,8564,,kaikki_no_match
wfpt-00678,abaixo,,,708,,kaikki_no_match
wfpt-11085,abandona,,,11199,,kaikki_no_match
wfpt-07493,abandonada,,,7587,,kaikki_no_match
wfpt-05401,abandonado,,,5484,,kaikki_no_match
wfpt-11658,abandonados,,,11779,,kaikki_no_match
wfpt-03801,abandonar,verb,,3871,оставить,kaikki_pt_ru_enriched
wfpt-05822,abandono,,,5906,,kaikki_no_match
wfpt-05402,abandonou,,,5485,,kaikki_no_match
wfpt-06172,abastecimento,,,6257,,kaikki_no_match
wfpt-05077,abc,,,5156,,kaikki_no_match
wfpt-09837,abel,noun,,9946,авель,kaikki_pt_ru_enriched
wfpt-10189,abelha,noun,,10298,пчела,kaikki_pt_ru_enriched
wfpt-10003,abelhas,,,10112,,kaikki_no_match
wfpt-05931,abençoe,,,6016,,kaikki_no_match
wfpt-01645,aberta,,,1694,,kaikki_no_match
wfpt-09322,abertamente,,,9426,,kaikki_no_match
wfpt-03802,abertas,,,3872,,kaikki_no_match
wfpt-01259,aberto,,,1300,,kaikki_no_match
wfpt-03383,abertos,,,3447,,kaikki_no_match
wfpt-01227,abertura,,,1267,,kaikki_no_match
wfpt-10004,abismo,noun,,10113,бездна,kaikki_pt_ru_enriched
wfpt-10703,abolição,,,10815,,kaikki_no_match
wfpt-08316,aborda,,,8412,,kaikki_no_match
wfpt-02756,abordagem,noun,,2815,абордаж,kaikki_pt_ru_enriched
wfpt-09500,abordagens,,,9606,,kaikki_no_match
wfpt-07899,abordar,,,7994,,kaikki_no_match
wfpt-04610,aborto,noun,,4688,аборт,kaikki_pt_ru_enriched
wfpt-06274,about,,,6361,,kaikki_no_match
wfpt-06515,abra,,,6604,,kaikki_no_match
wfpt-09323,abrange,,,9427,,kaikki_no_match
wfpt-08888,abrangente,,,8989,,kaikki_no_match
wfpt-07494,abraçar,,,7588,,kaikki_no_match
wfpt-03881,abraço,noun,,3952,объятие,kaikki_pt_ru_enriched
wfpt-08889,abraços,,,8990,,kaikki_no_match
wfpt-01752,abre,,,1803,,kaikki_no_match
wfpt-09324,abrem,,,9428,,kaikki_no_match
wfpt-06878,abreu,,,6968,,kaikki_no_match
wfpt-06275,abri,,,6362,,kaikki_no_match
wfpt-08038,abriga,,,8134,,kaikki_no_match
wfpt-09030,abrigar,,,9132,,kaikki_no_match
wfpt-03803,abrigo,,,3873,,kaikki_no_match
wfpt-00535,abril,noun,,561,апрель,kaikki_pt_ru_enriched
wfpt-05294,abrindo,,,5374,,kaikki_no_match
wfpt-01002,abrir,,,1038,,kaikki_no_match
wfpt-09325,abriram,,,9429,,kaikki_no_match
wfpt-02351,abriu,,,2405,,kaikki_no_match
wfpt-11258,abs,,,11375,,kaikki_no_match
wfpt-03882,absoluta,,,3953,,kaikki_no_match
wfpt-03116,absolutamente,,,3178,,kaikki_no_match
wfpt-05724,absoluto,,,5807,,kaikki_no_match
wfpt-11659,absorção,noun,,11780,абсорбция,kaikki_pt_ru_enriched
wfpt-10704,absurda,,,10816,,kaikki_no_match
wfpt-03672,absurdo,,,3738,,kaikki_no_match
wfpt-07495,abu,,,7589,,kaikki_no_match
wfpt-09326,abundância,noun,,9430,обилие,kaikki_pt_ru_enriched
wfpt-04530,abuso,,,4607,,kaikki_no_match
wfpt-09501,abusos,,,9607,,kaikki_no_match
wfpt-01068,acaba,,,1105,,kaikki_no_match
wfpt-05078,acabado,,,5157,,kaikki_no_match
wfpt-03384,acabam,,,3448,,kaikki_no_match
wfpt-07900,acabamos,,,7995,,kaikki_no_match
wfpt-05932,acabando,,,6017,,kaikki_no_match
wfpt-00807,acabar,,,841,,kaikki_no_match
wfpt-02799,acabaram,,,2858,,kaikki_no_match
wfpt-09180,acabaria,,,9283,,kaikki_no_match
wfpt-05616,acabe,,,5699,,kaikki_no_match
wfpt-01548,acabei,,,1596,,kaikki_no_match
wfpt-05506,acabo,,,5589,,kaikki_no_match
wfpt-00437,acabou,,,457,,kaikki_no_match
wfpt-01616,academia,noun,,1665,академия,kaikki_pt_ru_enriched
wfpt-05933,acadêmica,,,6018,,kaikki_no_match
wfpt-05187,acadêmico,noun,,5267,академик,kaikki_pt_ru_enriched
wfpt-04793,acadêmicos,,,4871,,kaikki_no_match
wfpt-10190,acalma,,,10299,,kaikki_no_match
wfpt-06407,acalmar,,,6495,,kaikki_no_match
wfpt-03883,acampamento,noun,,3954,кемпинг,kaikki_pt_ru_enriched
wfpt-02700,acaso,,,2759,,kaikki_no_match
wfpt-10879,aceder,,,10991,,kaikki_no_match
wfpt-02449,aceita,,,2503,,kaikki_no_match
wfpt-09031,aceitam,,,9133,,kaikki_no_match
wfpt-10522,aceitamos,,,10634,,kaikki_no_match
wfpt-09181,aceitando,,,9284,,kaikki_no_match
wfpt-01646,aceitar,,,1695,,kaikki_no_match
wfpt-11660,aceitas,,,11781,,kaikki_no_match
wfpt-05295,aceitação,noun,,5375,принятие,kaikki_pt_ru_enriched
wfpt-06516,aceite,,,6605,,kaikki_no_match
wfpt-03305,aceito,,,3368,,kaikki_no_match
wfpt-04531,aceitou,,,4608,,kaikki_no_match
wfpt-09678,aceitável,,,9786,,kaikki_no_match
wfpt-10523,acelerado,,,10635,,kaikki_no_match
wfpt-09679,acelerar,verb,,9787,торопить,kaikki_pt_ru_enriched
wfpt-08744,aceleração,noun,,8844,ускорение,kaikki_pt_ru_enriched
wfpt-10705,acender,,,10817,,kaikki_no_match
wfpt-02405,acerca,,,2459,,kaikki_no_match
wfpt-05507,acertar,,,5590,,kaikki_no_match
wfpt-09032,acerto,,,9134,,kaikki_no_match
wfpt-05934,acertou,,,6019,,kaikki_no_match
wfpt-07146,acervo,,,7237,,kaikki_no_match
