external_key,lemma,pos,level,freq_rank,ru_gloss,notes
wfpt-00046,dia,noun,,51,день,pilot_safe_subset
wfpt-00075,mundo,noun,,81,мир,pilot_safe_subset
wfpt-00079,vida,noun,,85,жизнь,pilot_safe_subset
wfpt-00085,casa,noun,,91,дом,pilot_safe_subset
wfpt-00086,nada,noun,,92,ничто,pilot_safe_subset
wfpt-00088,ver,verb,,94,видеть,pilot_safe_subset
wfpt-00093,ano,noun,,99,год,pilot_safe_subset
wfpt-00109,hoje,noun,,117,сегодня,pilot_safe_subset
wfpt-00116,cidade,noun,,124,город,pilot_safe_subset
wfpt-00121,trabalho,noun,,131,труд,pilot_safe_subset
wfpt-00159,ficar,verb,,169,оставаться,pilot_safe_subset
wfpt-00160,mãe,noun,,170,мать,pilot_safe_subset
wfpt-00163,rio,noun,,173,река,pilot_safe_subset
wfpt-00167,noite,noun,,177,ночь,pilot_safe_subset
wfpt-00182,tipo,noun,,192,тип,pilot_safe_subset
wfpt-00194,momento,noun,,206,момент,pilot_safe_subset
wfpt-00196,verdade,noun,,208,истина,pilot_safe_subset
wfpt-00200,lugar,noun,,212,место,pilot_safe_subset
wfpt-00202,país,noun,,214,страна,pilot_safe_subset
wfpt-00203,presidente,noun,,215,президент,pilot_safe_subset
wfpt-00212,família,noun,,224,семья,pilot_safe_subset
wfpt-00213,gente,noun,,225,народ,pilot_safe_subset
wfpt-00215,fim,noun,,227,конец,pilot_safe_subset
wfpt-00218,semana,noun,,230,неделя,pilot_safe_subset
wfpt-00221,jogo,noun,,233,игра,pilot_safe_subset
wfpt-00226,governo,noun,,238,правительство,pilot_safe_subset
wfpt-00228,pai,noun,,240,отец,pilot_safe_subset
wfpt-00235,homem,noun,,247,мужчина,pilot_safe_subset
wfpt-00238,música,noun,,250,музыка,pilot_safe_subset
wfpt-00242,água,noun,,254,вода,pilot_safe_subset
wfpt-00253,número,noun,,266,номер,pilot_safe_subset
wfpt-00254,dinheiro,noun,,267,деньги,pilot_safe_subset
wfpt-00259,sistema,noun,,272,система,pilot_safe_subset
wfpt-00260,amor,noun,,274,любовь,pilot_safe_subset
wfpt-00261,escola,noun,,275,школа,pilot_safe_subset
wfpt-00267,morte,noun,,281,смерть,pilot_safe_subset
wfpt-00272,projeto,noun,,288,проект,pilot_safe_subset
wfpt-00273,região,noun,,289,регион,pilot_safe_subset
wfpt-00275,sul,noun,,291,юг,pilot_safe_subset
wfpt-00278,área,noun,,294,площадь,pilot_safe_subset
wfpt-00281,lei,noun,,297,закон,pilot_safe_subset
wfpt-00283,problema,noun,,299,проблема,pilot_safe_subset
wfpt-00290,guerra,noun,,306,война,pilot_safe_subset
wfpt-00297,filme,noun,,314,фильм,pilot_safe_subset
wfpt-00306,programa,noun,,323,программа,pilot_safe_subset
wfpt-00314,terra,noun,,331,земля,pilot_safe_subset
wfpt-00319,favor,noun,,336,услуга,pilot_safe_subset
wfpt-00334,população,noun,,351,население,pilot_safe_subset
