external_key,lemma,pos,level,freq_rank,ru_gloss,notes
wfpt-00039,quando,,,44,,shortlisted_from_wordfreq_seed
wfpt-00042,pelo,,,47,,shortlisted_from_wordfreq_seed
wfpt-00046,dia,,,51,,shortlisted_from_wordfreq_seed
wfpt-00047,pela,,,52,,shortlisted_from_wordfreq_seed
wfpt-00049,bem,,,54,,shortlisted_from_wordfreq_seed
wfpt-00051,mesmo,,,56,,shortlisted_from_wordfreq_seed
wfpt-00052,pode,,,57,,shortlisted_from_wordfreq_seed
wfpt-00053,pessoas,,,58,,shortlisted_from_wordfreq_seed
wfpt-00056,tudo,,,61,,shortlisted_from_wordfreq_seed
wfpt-00058,aqui,,,63,,shortlisted_from_wordfreq_seed
wfpt-00061,anos,,,66,,shortlisted_from_wordfreq_seed
wfpt-00063,quem,,,68,,shortlisted_from_wordfreq_seed
wfpt-00065,agora,,,70,,shortlisted_from_wordfreq_seed
wfpt-00070,assim,,,75,,shortlisted_from_wordfreq_seed
wfpt-00071,depois,,,76,,shortlisted_from_wordfreq_seed
wfpt-00073,onde,,,78,,shortlisted_from_wordfreq_seed
wfpt-00074,vou,,,79,,shortlisted_from_wordfreq_seed
wfpt-00075,mundo,,,81,,shortlisted_from_wordfreq_seed
wfpt-00076,estão,,,82,,shortlisted_from_wordfreq_seed
wfpt-00078,tempo,,,84,,shortlisted_from_wordfreq_seed
wfpt-00079,vida,,,85,,shortlisted_from_wordfreq_seed
wfpt-00084,tenho,,,90,,shortlisted_from_wordfreq_seed
wfpt-00085,casa,,,91,,shortlisted_from_wordfreq_seed
wfpt-00086,nada,,,92,,shortlisted_from_wordfreq_seed
wfpt-00087,the,,,93,,shortlisted_from_wordfreq_seed
wfpt-00088,ver,,,94,,shortlisted_from_wordfreq_seed
wfpt-00089,melhor,,,95,,shortlisted_from_wordfreq_seed
wfpt-00090,bom,,,96,,shortlisted_from_wordfreq_seed
wfpt-00091,foram,,,97,,shortlisted_from_wordfreq_seed
wfpt-00092,sempre,,,98,,shortlisted_from_wordfreq_seed
wfpt-00093,ano,,,99,,shortlisted_from_wordfreq_seed
wfpt-00094,grande,,,100,,shortlisted_from_wordfreq_seed
wfpt-00096,vez,,,102,,shortlisted_from_wordfreq_seed
wfpt-00098,apenas,,,104,,shortlisted_from_wordfreq_seed
wfpt-00099,coisa,,,105,,shortlisted_from_wordfreq_seed
wfpt-00100,sou,,,106,,shortlisted_from_wordfreq_seed
wfpt-00102,dois,,,109,,shortlisted_from_wordfreq_seed
wfpt-00103,nunca,,,110,,shortlisted_from_wordfreq_seed
wfpt-00105,quero,,,112,,shortlisted_from_wordfreq_seed
wfpt-00107,parte,,,114,,shortlisted_from_wordfreq_seed
