external_key,lemma,pos,level,freq_rank,ru_gloss,notes
wfpt-00088,ver,verb,,94,видеть,kaikki_pt_ru_pos_seed
wfpt-00147,falar,verb,,157,сказать,kaikki_pt_ru_pos_seed
wfpt-00159,ficar,verb,,169,оставаться,kaikki_pt_ru_pos_seed
wfpt-00342,usar,verb,,359,использовать,kaikki_pt_ru_pos_seed
wfpt-00365,ajudar,verb,,383,помочь,kaikki_pt_ru_pos_seed
wfpt-00412,pensar,verb,,431,найти,kaikki_pt_ru_pos_seed
wfpt-00440,encontrar,verb,,460,найти,kaikki_pt_ru_pos_seed
wfpt-00479,começar,verb,,501,начать,kaikki_pt_ru_pos_seed
wfpt-00485,ouvir,verb,,507,слышать,kaikki_pt_ru_pos_seed
wfpt-00549,trabalhar,verb,,575,работать,kaikki_pt_ru_pos_seed
wfpt-00551,viver,verb,,577,жить,kaikki_pt_ru_pos_seed
wfpt-00563,seguir,verb,,590,следовать,kaikki_pt_ru_pos_seed
wfpt-00584,tomar,verb,,611,пить,kaikki_pt_ru_pos_seed
wfpt-00614,comprar,verb,,642,покупать,kaikki_pt_ru_pos_seed
wfpt-00620,ler,verb,,648,читать,kaikki_pt_ru_pos_seed
wfpt-00628,parar,verb,,656,остановить,kaikki_pt_ru_pos_seed
wfpt-00631,tentar,verb,,659,стараться,kaikki_pt_ru_pos_seed
wfpt-00662,sentir,verb,,691,чувствовать,kaikki_pt_ru_pos_seed
wfpt-00679,conhecer,verb,,709,знать,kaikki_pt_ru_pos_seed
wfpt-00682,mostrar,verb,,712,показать,kaikki_pt_ru_pos_seed
wfpt-00709,contar,verb,,740,читать,kaikki_pt_ru_pos_seed
wfpt-00721,comer,verb,,753,есть,kaikki_pt_ru_pos_seed
wfpt-00725,entender,verb,,757,понять,kaikki_pt_ru_pos_seed
wfpt-00775,pagar,verb,,809,платить,kaikki_pt_ru_pos_seed
wfpt-00857,esperar,verb,,891,ждать,kaikki_pt_ru_pos_seed
wfpt-00878,dormir,verb,,912,спать,kaikki_pt_ru_pos_seed
wfpt-00974,escrever,verb,,1009,писать,kaikki_pt_ru_pos_seed
wfpt-00986,querer,verb,,1021,хотеть,kaikki_pt_ru_pos_seed
wfpt-01017,matar,verb,,1053,убивать,kaikki_pt_ru_pos_seed
wfpt-01026,achar,verb,,1062,думать,kaikki_pt_ru_pos_seed
