external_key,lemma,pos,level,freq_rank,ru_gloss,notes
advcur-0001,ainda,adverb,,120,ещё,curated_adverb_seed
advcur-0002,já,adverb,,41,уже,curated_adverb_seed
advcur-0003,logo,adverb,,900,скоро,curated_adverb_seed
advcur-0004,cedo,adverb,,2600,рано,curated_adverb_seed
advcur-0005,tarde,adverb,,1400,поздно,curated_adverb_seed
advcur-0006,hoje,adverb,,117,сегодня,curated_adverb_seed
advcur-0007,amanhã,adverb,,548,завтра,curated_adverb_seed
advcur-0008,ontem,adverb,,525,вчера,curated_adverb_seed
advcur-0009,agora,adverb,,70,сейчас,curated_adverb_seed
advcur-0010,depois,adverb,,76,потом,curated_adverb_seed
advcur-0011,antes,adverb,,151,раньше,curated_adverb_seed
advcur-0012,sempre,adverb,,98,всегда,curated_adverb_seed
advcur-0013,nunca,adverb,,110,никогда,curated_adverb_seed
advcur-0014,talvez,adverb,,455,возможно,curated_adverb_seed
advcur-0015,quase,adverb,,241,почти,curated_adverb_seed
advcur-0016,longe,adverb,,689,далеко,curated_adverb_seed
advcur-0017,perto,adverb,,980,близко,curated_adverb_seed
advcur-0018,dentro,adverb,,870,внутри,curated_adverb_seed
advcur-0019,fora,adverb,,760,снаружи,curated_adverb_seed
advcur-0020,aqui,adverb,,63,здесь,curated_adverb_seed
advcur-0021,ali,adverb,,820,там,curated_adverb_seed
advcur-0022,lá,adverb,,430,там,curated_adverb_seed
advcur-0023,abaixo,adverb,,708,ниже,curated_adverb_seed
advcur-0024,acima,adverb,,980,выше,curated_adverb_seed
advcur-0025,junto,adverb,,521,вместе,curated_adverb_seed
advcur-0026,separadamente,adverb,,999999,,blocked_mente_example
advcur-0027,assim,adverb,,75,так,curated_adverb_seed
advcur-0028,bem,adverb,,54,хорошо,curated_adverb_seed
advcur-0029,mal,adverb,,319,плохо,curated_adverb_seed
advcur-0030,pior,adverb,,745,хуже,curated_adverb_seed
advcur-0031,melhor,adverb,,95,лучше,curated_adverb_seed
advcur-0032,devagar,adverb,,5520,медленно,curated_adverb_seed
advcur-0033,depressa,adverb,,2100,быстро,curated_adverb_seed
advcur-0034,gratis,adverb,,4800,бесплатно,curated_adverb_seed
advcur-0035,sozinho,adverb,,3500,в одиночку,curated_adverb_seed
advcur-0036,mesmo,adverb,,56,даже,curated_adverb_seed
advcur-0037,só,adverb,,50,только,curated_adverb_seed
advcur-0038,apenas,adverb,,104,лишь,curated_adverb_seed
advcur-0039,somente,adverb,,706,только,curated_adverb_seed
advcur-0040,enfim,adverb,,1882,наконец,curated_adverb_seed
