external_key,lemma,pos,level,freq_rank,ru_gloss,notes
curadv-0001,cedo,adverb,,2600,рано,curated_tail_adverb_v2
curadv-0002,depressa,adverb,,2100,быстро,curated_tail_adverb_v2
curadv-0003,tarde,adverb,,1400,поздно,curated_tail_adverb_v2
curadv-0004,gratis,adverb,,4800,бесплатно,curated_tail_adverb_v2
curadv-0005,sozinho,adverb,,3500,в одиночку,curated_tail_adverb_v2
curadv-0006,enfim,adverb,,1882,наконец,curated_tail_adverb_v2
curadv-0007,devagar,adverb,,5520,медленно,curated_tail_adverb_v2
curadv-0008,outrora,adverb,,10224,прежде,curated_tail_adverb_v2
curadv-0009,perto,adverb,,980,близко,curated_tail_adverb_v2
curadv-0010,fora,adverb,,760,снаружи,curated_tail_adverb_v2
curadv-0011,dentro,adverb,,870,внутри,curated_tail_adverb_v2
curadv-0012,abaixo,adverb,,708,ниже,curated_tail_adverb_v2
curadv-0013,acima,adverb,,980,выше,curated_tail_adverb_v2
curadv-0014,ali,adverb,,820,там,curated_tail_adverb_v2
curadv-0015,logo,adverb,,900,скоро,curated_tail_adverb_v2
curadv-0016,ainda,adverb,,120,ещё,curated_tail_adverb_v2
curadv-0017,hoje,adverb,,117,сегодня,curated_tail_adverb_v2
curadv-0018,depois,adverb,,76,потом,curated_tail_adverb_v2
curadv-0019,assim,adverb,,75,так,curated_tail_adverb_v2
curadv-0020,mal,adverb,,319,плохо,curated_tail_adverb_v2
