external_key,lemma,pos,level,freq_rank,ru_gloss,notes
curmid-0001,frequentemente,adverb,,2200,часто,curated_mid_adverb_v1
curmid-0002,raramente,adverb,,2300,редко,curated_mid_adverb_v1
curmid-0003,geralmente,adverb,,2400,обычно,curated_mid_adverb_v1
curmid-0004,normalmente,adverb,,2600,обычно,curated_mid_adverb_v1
curmid-0005,especialmente,adverb,,2800,особенно,curated_mid_adverb_v1
curmid-0006,principalmente,adverb,,3000,главным образом,curated_mid_adverb_v1
curmid-0007,claramente,adverb,,3200,ясно,curated_mid_adverb_v1
curmid-0008,obviamente,adverb,,3400,очевидно,curated_mid_adverb_v1
curmid-0009,provavelmente,adverb,,3600,вероятно,curated_mid_adverb_v1
curmid-0010,possivelmente,adverb,,3800,возможно,curated_mid_adverb_v1
curmid-0011,rapidamente,adverb,,4000,быстро,curated_mid_adverb_v1
curmid-0012,lentamente,adverb,,4200,медленно,curated_mid_adverb_v1
curmid-0013,facilmente,adverb,,4500,легко,curated_mid_adverb_v1
curmid-0014,dificilmente,adverb,,4700,едва,curated_mid_adverb_v1
curmid-0015,cuidadosamente,adverb,,5000,осторожно,curated_mid_adverb_v1
curmid-0016,seriamente,adverb,,5200,серьёзно,curated_mid_adverb_v1
curmid-0017,simplesmente,adverb,,5400,просто,curated_mid_adverb_v1
curmid-0018,realmente,adverb,,5600,действительно,curated_mid_adverb_v1
curmid-0019,totalmente,adverb,,5800,полностью,curated_mid_adverb_v1
curmid-0020,parcialmente,adverb,,6000,частично,curated_mid_adverb_v1
